"","external_gene_name","geneid","log2foldchange","logCPM","F","PValue","p.val_adj","color"
"160",NA,"ENSG00000241743",-2.14421797345108,1.08563403764136,45.9055079651559,1.63328638454725e-10,3.51238236996886e-06,"Downregulated"
"161","SCGB3A1","ENSG00000161055",-2.14188322451912,0.916192460133249,59.672360171475,7.09166352674553e-13,1.52506224142663e-08,"Downregulated"
"162","ATP13A4","ENSG00000127249",-2.13979072138718,-1.14378401623325,67.7085760030143,2.67897883585726e-14,5.76114398651103e-10,"Downregulated"
"163","MIPEP","ENSG00000027001",-2.13944926774194,6.75973212322792,108.60965219966,2.6558888999387e-20,5.71148907931818e-16,"Downregulated"
"164","POTEH","ENSG00000198062",-2.13281825262615,1.6913409641644,94.9385614901109,2.34474188760619e-18,5.04236742929712e-14,"Downregulated"
"165","GSTA9P","ENSG00000243236",-2.13205299534062,-1.14603173797486,57.3471117526784,1.43400151612766e-12,3.08382026043254e-08,"Downregulated"
"166",NA,"ENSG00000259561",-2.11993780469218,-1.2269456036681,147.143049886808,1.20162942309419e-25,2.58410407436405e-21,"Downregulated"
"167","LMO7-AS1","ENSG00000261105",-2.11759339949048,0.326198408101162,161.0479657868,7.40455247363795e-27,1.59234900945584e-22,"Downregulated"
"168","STARD13-AS","ENSG00000236581",-2.11425318163239,-1.28345933454496,73.0747331150818,3.37594855234539e-15,7.25997736181875e-11,"Downregulated"
"169","MT1M","ENSG00000205364",-2.1113850071517,3.98048021524278,69.6868811133395,1.58901496012474e-14,3.41717667174824e-10,"Downregulated"
"170","VSTM2A","ENSG00000170419",-2.11077476668643,3.73177621970544,29.5435069047802,1.71027298956419e-07,0.00367794206405778,"Downregulated"
"171",NA,"ENSG00000274204",-2.0921669679478,-1.37403462359818,105.203206147057,3.98700418100103e-20,8.57405249124271e-16,"Downregulated"
"172","MYLK3","ENSG00000140795",-2.08948964613357,0.850339604164667,90.1737252247569,1.21129342523762e-17,2.6048865109735e-13,"Downregulated"
"173",NA,"ENSG00000287656",-2.08067135694688,-0.924171983019307,39.9654530128174,1.82601149096652e-09,3.92683771132349e-05,"Downregulated"
"174","PGC","ENSG00000096088",-2.07890992884202,6.89121202566156,31.5931485769901,6.90758725176494e-08,0.00148547663849205,"Downregulated"
"175","MTCO1P40","ENSG00000262902",-2.07303643073618,3.15624708719447,27.7904453330331,3.74518398975147e-07,0.00805401816996054,"Downregulated"
"176",NA,"ENSG00000261146",-2.06837674893477,-0.924242450672072,46.1680307749558,1.37646038824427e-10,2.96007806491931e-06,"Downregulated"
"177","SRL","ENSG00000185739",-2.06660322704872,1.8524760454282,80.4190483384187,3.37678283378419e-16,7.26177148405289e-12,"Downregulated"
"178",NA,"ENSG00000226242",-2.06269482858516,-0.744972957691064,53.768032560688,6.74207707712982e-12,1.44988367543677e-07,"Downregulated"
"179","ENO3","ENSG00000108515",-2.04944981081805,2.96269011017658,98.5134708371143,7.00029535409426e-19,1.50541351589797e-14,"Downregulated"
"180","SHISA8","ENSG00000234965",-2.04450263503077,-0.138524890283878,105.221782638824,8.86009855883031e-20,1.90536419507646e-15,"Downregulated"
"181","SHISA9","ENSG00000237515",-2.04184084184468,2.56647635103006,36.68947210294,7.58540108357778e-09,0.00016312405030234,"Downregulated"
"182",NA,"ENSG00000224087",-2.03941390101866,0.0666647572948871,104.686765846276,1.05845302513326e-19,2.27620323054908e-15,"Downregulated"
"183","PCGEM1","ENSG00000227418",-2.03898005061816,4.9099494686031,34.0787035806568,2.33274606629428e-08,0.000501657041556584,"Downregulated"
"184",NA,"ENSG00000242741",-2.03650461412347,-0.471111807180159,39.8503381409524,2.00741352916343e-09,4.31694279446595e-05,"Downregulated"
"185","AMTN","ENSG00000187689",-2.02670550016748,-0.369164412822418,69.7331711071551,1.6425045581543e-14,3.53220605231082e-10,"Downregulated"
"186","LOC124901859","ENSG00000199370",-2.02466818965165,1.30970915676629,31.7375190336086,6.52687092602603e-08,0.0014036035926419,"Downregulated"
